period,COURSETYPE,crs_number,SectionNumber_CE,SectionNumber_ASU,dept,question,response,SubmitDate,eval_username,survey,DummyID
2221C,On-line,AST 112,31057,31057,CEARTH&SPX,What did you like the least about the course?,EVERYTHING. THE WORKLOAD WAS TOO MUCH FOR A LEVEL-100 CLASS AND THE PROFESSOR WAS A JOKE.,20220414,,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10000783
2221C,On-line,AST 112,31057,31057,CEARTH&SPX,What did you like the most about the course?,NOTHING. THE COURSE WAS AWFUL.,20220414,,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10000783
2221C,On-line,AST 112,31057,31057,CEARTH&SPX,What did you like the most about the course?,NOTHING. THE COURSE WAS AWFUL. TOO MUCH WORK FOR A LEVEL-100 COURSE.,20220414,,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10000783
2221C,On-line,AST 112,31057,31057,CEARTH&SPX,What do you think are the greatest strengths of this TA?,"None. Professor Ashcraft was an awful professor. She told us at the beginning of the semester she was going to curve the exams if we scored below a certain percentage. Lots of students bombed the test (not on purpose, we were literally being presented 400-level work in a 100-level class, which is obscene. by the time we took the exam, all our brains were fried from the overstuffing of new material. Way too much work for a level 100 class.) She said she'd have the curve applied to our exams within the next week or so. Cut to about three months later, and still, no curve applied. I've talked to other students and they have contacted her on multiple occasions about it and she either did not reply or said she'd speak with the entire class about it and as expected, nothing has been said. Overall, she either doesn't respond to emails or does very poorly and vaguely that it was a waste of time to even email her.",20220414,tashcraf,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10000783
2221C,On-line,AST 112,31057,31057,CEARTH&SPX,In what specific ways could the TA improve his/her teaching effectiveness?,Cut down the coursework as it is a level-100 class and be more on top of responding to students that have questions or need help. Be an ACTUAL PROFESSOR.,20220414,tashcraf,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10000783
2221C,On-line,AST 112,31057,31057,CEARTH&SPX,In what specific ways could the TA improve his/her teaching effectiveness?,N/a,20220414,rsotoarm,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10000783
2221C,On-line,AST 112,31057,31057,CEARTH&SPX,In what specific ways could the TA improve his/her teaching effectiveness?,N/A,20220414,sharish1,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10000783
2221C,On-line,AST 112,31057,31057,CEARTH&SPX,What do you think are the greatest strengths of this TA?,"TAs were good, and the professor was awful. I never worked one on one with the TAs but from what I saw from others, they did their job well.",20220414,rsotoarm,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10000783
2221C,On-line,AST 112,31057,31057,CEARTH&SPX,What do you think are the greatest strengths of this TA?,See prior grading,20220414,sharish1,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10000783
2221C,P,AST 112,31032,31032,CEARTH&SPX,What did you like about the course?,I liked how we got to apply our knowledge,20220425,,2221C - Spring 2022 - LA - CEARTH&SPX - TA LAB,10001483
2221C,P,AST 112,31032,31032,CEARTH&SPX,What did you dislike about the course? Do you have any suggestions to improve the course?,N/A,20220425,,2221C - Spring 2022 - LA - CEARTH&SPX - TA LAB,10001483
2227C,On-line,AST 111,73269,73269,CEARTH&SPX,What do you think are the greatest strengths of this TA?,I think this TA's strengths were being very open to responses and answering very thoughtfully to people with questions.,20221120,tfisher4,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10002153
2227C,On-line,AST 111,73269,73269,CEARTH&SPX,In what specific ways could the TA improve his/her teaching effectiveness?,I think this TA could improve her effectiveness by taking a little more charge.,20221120,tfisher4,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10002153
2227C,On-line,AST 111,73269,73269,CEARTH&SPX,In what specific ways could the TA improve his/her teaching effectiveness?,"I think this TA could maybe lead a discussion or announcement sometimes. I would usually see Theresa or Ashley start class announcements or Yellowdig discussions, but I would only see Christopher answering questions on Yellowdig (which is great!)",20221120,cmdupuis,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10002153
2227C,On-line,AST 111,73269,73269,CEARTH&SPX,What did you like the least about the course?,"I think I liked the extremely long labs the least. Though they were very informative, sometimes I found them difficult to want to complete.",20221120,,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10002153
2227C,On-line,AST 111,88249,88249,CEARTH&SPX,What did you dislike about the course? Do you have any suggestions to improve the course?,"I think that the Yellowdig topics can be included at the beginning of the module so you have all week to work on it. Also, the view-before-continuing structure of Canvas was helpful at times, but some times I would accidentally hit next and then forget I didn't do that assignment (it would put a green check mark not because I did the assignment, but because I viewed it once).",20221120,,2227C - Fall 2022 - LA - CEARTH&SPX - TA LAB,10002153
2227C,On-line,AST 111,88249,88249,CEARTH&SPX,What did you like about the course?,I enjoyed the layout of the units and the concept of Yellowdig!,20221120,,2227C - Fall 2022 - LA - CEARTH&SPX - TA LAB,10002153
2227C,On-line,AST 111,73269,73269,CEARTH&SPX,What did you like the least about the course?,"I liked least the labs. Though some of them were fun, others were long and a little too informative and I found it hard to want to complete.",20221120,,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10002153
2227C,On-line,AST 111,73269,73269,CEARTH&SPX,What did you like the most about the course?,I liked the different resources for units the best.,20221120,,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10002153
2227C,On-line,AST 111,73269,73269,CEARTH&SPX,What did you like the most about the course?,I liked all of the different ways to learn about the topics the most. I had fun with every unit learning with labs and readings and videos.,20221120,,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10002153
2227C,On-line,AST 111,73269,73269,CEARTH&SPX,What do you think are the greatest strengths of this TA?,I think the greatest strengths were that he was able to answer people's questions in a timely manner when they needed help.,20221120,cmdupuis,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10002153
2221C,P,AST 112,11880,11880,CEARTH&SPX,What did you dislike about the course? Do you have any suggestions to improve the course?,I disliked the long presentation that I felt to not prepare me for the exams.,20220421,,2221C - Spring 2022 - LA - CEARTH&SPX - Primary/w TA,10001442
2221C,P,AST 112,11880,11880,CEARTH&SPX,What do you think are the greatest strengths of this TA?,Organization,20220421,cmdupuis,2221C - Spring 2022 - LA - CEARTH&SPX - Primary/w TA,10001442
2221C,P,AST 112,11880,11880,CEARTH&SPX,In what specific ways could the instructor improve his/her teaching effectiveness?,I wish the material in the teachings matched better with what was on the tests.,20220421,a1sxs,2221C - Spring 2022 - LA - CEARTH&SPX - Primary/w TA,10001442
2221C,P,AST 112,11880,11880,CEARTH&SPX,In what specific ways could the TA improve his/her teaching effectiveness?,The TA was great in helpful organize the zoom.,20220421,cmdupuis,2221C - Spring 2022 - LA - CEARTH&SPX - Primary/w TA,10001442
2221C,P,AST 112,11880,11880,CEARTH&SPX,What did you like about the course?,I enjoyed the professor's lively personality and enthusiasm for the subject.,20220421,,2221C - Spring 2022 - LA - CEARTH&SPX - Primary/w TA,10001442
2221C,P,AST 112,31028,31028,CEARTH&SPX,What did you dislike about the course? Do you have any suggestions to improve the course?,"The lab scripts themselves take a way to complete. The given 3 hours in class is still never enough time to complete them. Additionally, the wording on the lab scripts were very confusing.",20220420,,2221C - Spring 2022 - LA - CEARTH&SPX - TA LAB,10001442
2221C,P,AST 112,31028,31028,CEARTH&SPX,What did you like about the course?,I liked how I was able to learn material from lecture but in a more hands on and in-depth way.,20220420,,2221C - Spring 2022 - LA - CEARTH&SPX - TA LAB,10001442
2227C,On-line,AST 111,92695,92695,CEARTH&SPX,What did you like the least about the course?,Felt like 99% of the work was busy work designed to make people spend time on the work as opposed to actually learning the material,20221201,,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001554
2227C,On-line,AST 111,92695,92695,CEARTH&SPX,In what specific ways could the TA improve his/her teaching effectiveness?,N/A,20221201,cmdupuis,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001554
2227C,On-line,AST 111,92695,92695,CEARTH&SPX,What do you think are the greatest strengths of this TA?,N/A,20221201,tfisher4,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001554
2227C,On-line,AST 111,92695,92695,CEARTH&SPX,What did you like the most about the course?,Content,20221201,,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001554
2227C,On-line,AST 111,92695,92695,CEARTH&SPX,What did you like the most about the course?,Contents,20221201,,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001554
2227C,On-line,AST 111,92695,92695,CEARTH&SPX,What do you think are the greatest strengths of this TA?,N/A,20221201,cmdupuis,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001554
2227C,On-line,AST 111,92695,92695,CEARTH&SPX,In what specific ways could the TA improve his/her teaching effectiveness?,N/A,20221201,tfisher4,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001554
2227C,P,AST 111,79494,79494,CEARTH&SPX,What did you like about the course?,Was fun to learn about the way our solar system is shaped,20221122,,2227C - Fall 2022 - LA - CEARTH&SPX - Primary/w TA,10001682
2227C,P,AST 111,88238,88238,CEARTH&SPX,What did you like about the course?,Was fun and interactive,20221122,,2227C - Fall 2022 - LA - CEARTH&SPX - TA LAB,10001682
2227C,P,AST 111,79494,79494,CEARTH&SPX,In what specific ways could the instructor improve his/her teaching effectiveness?,Maybe more interactive lessons,20221122,avanenge,2227C - Fall 2022 - LA - CEARTH&SPX - Primary/w TA,10001682
2227C,P,AST 111,79494,79494,CEARTH&SPX,What did you dislike about the course? Do you have any suggestions to improve the course?,Nothing,20221122,,2227C - Fall 2022 - LA - CEARTH&SPX - Primary/w TA,10001682
2227C,P,AST 111,88238,88238,CEARTH&SPX,What did you dislike about the course? Do you have any suggestions to improve the course?,Nothing,20221122,,2227C - Fall 2022 - LA - CEARTH&SPX - TA LAB,10001682
2221C,On-line,AST 112,25868,25868,CEARTH&SPX,What did you like the least about the course?,"Yellowdig discussions required too many responses. The point needed per week could be cut in half and people would still feel like they have participated. The proctoring service was terrible. My computer and internet connections are extremely and it bogged both down to a crawl, which was extremely frustrating. If this continues to be a requirement, I would suggest having all questions on a test on a single page rather than having to click the next button. Every time I clicked the next button, it would take several seconds to load the next page, which reduced the amount of time per question a person has. If all questions were on one page, this would not be an issue.",20220423,,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001871
2221C,On-line,AST 112,25868,25868,CEARTH&SPX,What do you think are the greatest strengths of this TA?,I did not need to utilize the TA,20220423,tashcraf,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001871
2221C,On-line,AST 112,25868,25868,CEARTH&SPX,In what specific ways could the TA improve his/her teaching effectiveness?,I did not need to utilize the TA,20220423,rsotoarm,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001871
2221C,On-line,AST 112,25868,25868,CEARTH&SPX,In what specific ways could the TA improve his/her teaching effectiveness?,I did not need to utilize the TA,20220423,sharish1,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001871
2221C,On-line,AST 112,25868,25868,CEARTH&SPX,What did you like the most about the course?,"Everything was lined out in sequence, which was really helpful.",20220423,,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001871
2221C,On-line,AST 112,25868,25868,CEARTH&SPX,What did you like the most about the course?,I liked the Crash Course videos.,20220423,,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001871
2221C,On-line,AST 112,25868,25868,CEARTH&SPX,In what specific ways could the TA improve his/her teaching effectiveness?,I did not need to utilize the TA,20220423,tashcraf,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001871
2221C,On-line,AST 112,25868,25868,CEARTH&SPX,What do you think are the greatest strengths of this TA?,I did not need to utilize the TA,20220423,rsotoarm,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001871
2221C,On-line,AST 112,25868,25868,CEARTH&SPX,What do you think are the greatest strengths of this TA?,I did not need to utilize the TA,20220423,sharish1,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001871
2227C,On-line,AST 111,92695,92695,CEARTH&SPX,What do you think are the greatest strengths of this TA?,Efficient at responding to questions,20221118,cmdupuis,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10002146
2227C,On-line,AST 111,92695,92695,CEARTH&SPX,What did you like the least about the course?,"The class is incredibly difficult. There are hours upon hours of work to do each week. The amount of work assigned, along with the difficulty of the work does not match at all to all other level 100 courses I have taken.",20221118,,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10002146
2227C,On-line,AST 111,92695,92695,CEARTH&SPX,In what specific ways could the TA improve his/her teaching effectiveness?,The tone of their responses to questions or concerns about the class often felt condescending,20221118,cmdupuis,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10002146
2227C,On-line,AST 111,92695,92695,CEARTH&SPX,What do you think are the greatest strengths of this TA?,The responses were very helpful and helped guide students to figure out the answers rather than just telling them the answer,20221118,tfisher4,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10002146
2227C,On-line,AST 111,92695,92695,CEARTH&SPX,In what specific ways could the TA improve his/her teaching effectiveness?,Answer questions in a more timely manner,20221118,tfisher4,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10002146
2227C,On-line,AST 111,92696,92696,CEARTH&SPX,What did you dislike about the course? Do you have any suggestions to improve the course?,"I disliked the expectations of this course. I felt as if in order to maintain an A in the class, I had to spend at least 6 hours a day doing homework for the class and/ or studying. I also found it very difficult to get help in class when struggling.",20221118,,2227C - Fall 2022 - LA - CEARTH&SPX - TA LAB,10002146
2227C,On-line,AST 111,92695,92695,CEARTH&SPX,What did you like the most about the course?,There was a lot of assignments each week so as long as you did those you could pass the class with at least a C,20221118,,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10002146
2227C,On-line,AST 111,92696,92696,CEARTH&SPX,What did you like about the course?,I liked that each week was a new module.,20221118,,2227C - Fall 2022 - LA - CEARTH&SPX - TA LAB,10002146
2221C,On-line,AST 112,31058,31058,CEARTH&SPX,What did you like the least about the course?,For the course more than the 1st third of it is an identical copy of 111. I understand why for getting to the later sections but it was a motivation killer. The other students were also a negative. I'm kind of appalled at how many college aged adults are shocked and have thrown a fit at having to do the most basic algebraic math. Or how many think they were entitled to get an easy A or have no concept of academic integrity. There were so many people who were rude and disrespectful posting on the course board because they didn't feel like doing some very basic work in a 4 credit lab course.,20220428,,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001732
2221C,On-line,AST 112,31058,31058,CEARTH&SPX,In what specific ways could the TA improve his/her teaching effectiveness?,Dr. Ashcraft was not very visible in this course. I took 111 last semester and she was much more responsive. There were fewer questions overall but I did notice she was much less responsive this term.,20220428,tashcraf,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001732
2221C,On-line,AST 112,25868,25868,CEARTH&SPX,What did you like the least about the course?,The other students were also a negative. I'm kind of appalled at how many college aged adults are shocked and have thrown a fit at having to do the most basic algebraic math. Or how many think they were entitled to get an easy A or have no concept of academic integrity. There were so many people who were rude and disrespectful posting on the course board because they didn't feel like doing some very basic work in a 4 credit lab course. There was a large group of students who essentially copied off each others work that started to organize a campaign for review bombing/ negative evals because they were upset they did bad on the tests despite doing no work.,20220428,,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001732
2221C,On-line,AST 112,31058,31058,CEARTH&SPX,What do you think are the greatest strengths of this TA?,"The course is well organized, very easy to navigate and all the expectations of what you need to do to succeed were laid out very clearly by the professor.",20220428,tashcraf,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001732
2221C,On-line,AST 112,31058,31058,CEARTH&SPX,What did you like the most about the course?,I love this subject. The course material is laid out so you get just enough repetition to help with learning but a lot of videos are optional if you feel strongly with what you know which makes the work go much more quickly each week if you chose.,20220428,,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001732
2227C,P,AST 111,79494,79494,CEARTH&SPX,In what specific ways could the instructor improve his/her teaching effectiveness?,"Bring more energy and enthusiasm into the course. Only time I was engaged was when he put in his personal experience, and that was when he was talking about a solar eclipse. I feel like if he put more energy into the course, it would make it seem like it is a fun topic to learn about, and it would make it more enjoyable.",20221122,avanenge,2227C - Fall 2022 - LA - CEARTH&SPX - Primary/w TA,10001252
2227C,P,AST 111,88234,88234,CEARTH&SPX,What did you like about the course?,The TA made sure we knew the material and helped us a lot when we did not understand it,20221122,,2227C - Fall 2022 - LA - CEARTH&SPX - TA LAB,10001252
2227C,P,AST 111,88234,88234,CEARTH&SPX,What did you dislike about the course? Do you have any suggestions to improve the course?,n/a,20221122,,2227C - Fall 2022 - LA - CEARTH&SPX - TA LAB,10001252
2221C,On-line,AST 112,31057,31057,CEARTH&SPX,What did you like the least about the course?,"As specified before the structure in which the class is presented is terrible to say the least. The amount of hours expected to complete 14-18 assignments a week is unrealistic. Grading was not so accurate when it came to passing grades.The quiz and test section made it seem impossible to earn a passing grade as it is also unrealistic to learn over 40+ vocabulary words then have to take a test while being monitored, for other classes it does work well to be monitored but not for AST 112. I personally could not fathom the 'participation' aspect of the course sense the course is only online. The overall course seems great if someone is super intrigued into astrology but otherwise it is just another stress added onto your life. I would advise for future reference to simplify the structure of the course, otherwise just offer the course in person if the 'participation' is really that crucial.",20220427,,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10000084
2221C,On-line,AST 112,31057,31057,CEARTH&SPX,In what specific ways could the TA improve his/her teaching effectiveness?,N/A,20220427,rsotoarm,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10000084
2221C,On-line,AST 112,31057,31057,CEARTH&SPX,What do you think are the greatest strengths of this TA?,TA was really informative and always presented new information in a timely manner.,20220427,rsotoarm,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10000084
2221C,On-line,AST 112,31057,31057,CEARTH&SPX,What do you think are the greatest strengths of this TA?,The greatest strengths of the Instructor is that she is very knowledgeable of her profession.,20220427,tashcraf,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10000084
2221C,On-line,AST 112,31057,31057,CEARTH&SPX,What did you like the most about the course?,N/A,20220427,,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10000084
2221C,On-line,AST 112,31057,31057,CEARTH&SPX,In what specific ways could the TA improve his/her teaching effectiveness?,"I think the instructor needs to improve on the overall structure of the class. To start off the amount of hours expected of the students to complete the work and assignments was really absurd and unrealistic. When completing the assignments with an average of 80-100% on those specific assignments I would notice no improvement or impact on my grade. The other aspect the class should improve on is the discussion, I feel as if the mandatory weekly discussions is unnecessary when it come to a online class, especially when it comes to 'participation'.",20220427,tashcraf,2221C - Spring 2022 - LA - CEARTH&SPX - ASUO/iCourse,10000084
2227C,P,AST 111,70307,70307,CEARTH&SPX,What did you dislike about the course? Do you have any suggestions to improve the course?,less homework maybe its very time consuming,20221201,,2227C - Fall 2022 - LA - CEARTH&SPX - Primary/w TA,10000676
2227C,P,AST 111,70307,70307,CEARTH&SPX,What did you like about the course?,less homework maybe its very time consuming,20221201,,2227C - Fall 2022 - LA - CEARTH&SPX - Primary/w TA,10000676
2227C,P,AST 111,88245,88245,CEARTH&SPX,What did you dislike about the course? Do you have any suggestions to improve the course?,how late the lab was and we had to get the lab signed,20221201,,2227C - Fall 2022 - LA - CEARTH&SPX - TA LAB,10000676
2227C,P,AST 111,88245,88245,CEARTH&SPX,What did you like about the course?,some of the labs were interesting,20221201,,2227C - Fall 2022 - LA - CEARTH&SPX - TA LAB,10000676
2221C,P,AST 112,11880,11880,CEARTH&SPX,In what specific ways could the instructor improve his/her teaching effectiveness?,It was just disorganized,20220428,a1sxs,2221C - Spring 2022 - LA - CEARTH&SPX - Primary/w TA,10001585
2221C,P,AST 112,11880,11880,CEARTH&SPX,What did you dislike about the course? Do you have any suggestions to improve the course?,I didn't dislike anything,20220428,,2221C - Spring 2022 - LA - CEARTH&SPX - Primary/w TA,10001585
2221C,P,AST 112,11880,11880,CEARTH&SPX,In what specific ways could the TA improve his/her teaching effectiveness?,No clue,20220428,cmdupuis,2221C - Spring 2022 - LA - CEARTH&SPX - Primary/w TA,10001585
2221C,P,AST 112,11880,11880,CEARTH&SPX,What did you like about the course?,I liked learning about the material,20220428,,2221C - Spring 2022 - LA - CEARTH&SPX - Primary/w TA,10001585
2221C,P,AST 112,11880,11880,CEARTH&SPX,What do you think are the greatest strengths of this TA?,I never knew he was the TA,20220428,cmdupuis,2221C - Spring 2022 - LA - CEARTH&SPX - Primary/w TA,10001585
2221C,P,AST 112,31025,31025,CEARTH&SPX,What did you like about the course?,liked learning about astronomy and what its about.,20220428,,2221C - Spring 2022 - LA - CEARTH&SPX - TA LAB,10001585
2221C,P,AST 112,31025,31025,CEARTH&SPX,What did you dislike about the course? Do you have any suggestions to improve the course?,I disliked the lab time but obviously that is irrelevant,20220428,,2221C - Spring 2022 - LA - CEARTH&SPX - TA LAB,10001585
2227C,On-line,AST 111,73269,73269,CEARTH&SPX,What do you think are the greatest strengths of this TA?,Active in the course,20221119,tfisher4,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10002074
2227C,On-line,AST 111,73269,73269,CEARTH&SPX,What did you like the most about the course?,I like the different styles of learning and how the material was reinforced through different styles.,20221119,,2227C - Fall 2022 - LA - CEARTH&SPX - ASUO/iCourse,10002074
